Id,Sentimen,Komentar
381,Negatif,Saya gelombang 51 tak dapat apa²🙏🙏🙏
382,Negatif,Gk minat
383,Netral,@frida_malia
384,Negatif,"Mantengin zoom 3jam hp overheat, kalo sampe rusak minta ganti bisa ga tuh ?"
385,Negatif,4 TAHUN IKUTI PRAKERJA TIDAK PERNAH LOLOS. YANG LAIN DUA KALI IKUTI LANGSUNG LOLOS.
386,Negatif,Memang fuck
387,Netral,Yg udah keterima langsung beli pelatihan gak ?
388,Negatif,Namanya indonesia semua bisa di mainkan
389,Negatif,Hampir 4 tahun ikuto tidak pernah lolos fuck prakerja
390,Positif,Semoga lolos di gelombang sekarang
391,Positif,Gabung gelombang
392,Netral,Iseng2 brhadiah
393,Negatif,Dari awal sampe sekarang gagal terosssss
394,Positif,Siap gabung gelombang mudah mudah n jangan lolos
395,Positif,Semoga lolos
396,Netral,Tiap gabung gelombang kenapa selalu foto ktp dan unggah wajah terus ya ?
397,Netral,@isnaininurtia
398,Netral,"Kapan ditutupnya min,lg nunggu ditutup nih"
399,Netral,Udah daftar udah bergabung ko belom ada pemberitahuan informasi lulus apa ngak nya
400,Positif,Gabung
401,Negatif,Banyak ga tepat sasaran. Duit ny cair kebanyakan buat foya blanja n jln
402,Netral,👏i
403,Positif,Udah daftar semoga Jumat berkah
404,Negatif,"Gimana ya saya kan sudah lulus sekolah tetapi NIK saya masih terdaftar di Kementrian pendidikan, jadi saya gak bisa masuk gelombang"
405,Positif,semoga lolos
406,Positif,@syalfan_
407,Positif,semoga lolos🔥
408,Negatif,Mbohhhh
409,Negatif,Belum pernah lolos dari gelombang 12 sampe sekarang
410,Netral,Kalo beli pelatihan itu 1 dulu terus nunggu kelasnya selesai baru beli pelatihan lainnya. Atau langsung beli 2 pelatihan sekaligus bisa ? Gak usah nunggu kelas yg pertama selesai. Mohon jawabannya teman2
411,Positif,Percobaan kedua ini semoga saya bisa lolos..
412,Positif,yang belum lolos semngt. kalau beli pelatihan buat yang lolos mending beli di #rumahsiapkerja materi nya mudah d pahami
413,Negatif,GK pernah Lolos juga
414,Negatif,cape gak pernah loloss😢😢😢😢😢
415,Negatif,Min aku sudah daftar ko pas mau di buka lagi Imel nya salah Mulu ya
416,Netral,Abis lolos kita ngapain
417,Netral,Akal2an saja
418,Netral,@dcxx.w buka we nang
419,Negatif,sedih banget mau beli pelatihan tp banyak yg jadwal pelatihannya belum tersedia trs gimana mau ngembangin skill kalo pelatihannya aja terbatas gini
420,Netral,Pelatihan buat sd smp dongggg
421,Negatif,Udah dari gelombang 48 males gabung percuma 17X Gagal.
422,Netral,Wkwk
423,Negatif,Bubarain peroram ini jadi ladang korupis
424,Negatif,"Balik LG GK bisa masukin ft KTP, padahal SDH ikutan dr gelombang 2"
425,Negatif,NYERAH!!!!!
426,Positif,Mudahan lulus
427,Netral,Ni carenye gimana
428,Positif,Alhamdulillah lolos
429,Negatif,"Bang kalo akun yang di blockir karna ga ikut pelatihan itu ga bisa di unblock kah, gaada notif soalnya pas dapat"
430,Positif,Bismillah ya allah semoga kali ini bisa lulus aamiin
431,Positif,Semngat ikut lagi hehe 😁
432,Negatif,Min maaf kenapa akun istri saya tidak bisa akses daftar Prakerja alasannya ktp tidak elektrik. Padahal fisik dan sudah dicoba di dukcapil sesuai elektrik. Sampe saya bingung harus bagaimana y?
433,Negatif,👎👎👎👎👎👎👎
434,Negatif,malessss
435,Negatif,kok yg jadwal pencairannya tgl 2 sampe sekarang belum di tf yah? ada yg sama ngga?
436,Negatif,Dari gelombang 21 sampe sekarang sudah gelombang 54 gk pernah lolos min
437,Netral,Info loker min
438,Netral,"Saya mau tanya min, kenapa setiap masuk harus unggah ktp terus?"
439,Negatif,"Aneh bgt sumpah 600 cuman 1x dibikin susah nya minta ampun rebutan kelas udah kaya flas sale lah dulu 600 4x dapet cuman nonton Vidio besok selesai sertifikat keluar cair besok nya, sungguh miris nasib tahun sekarang wkwkwk"
440,Negatif,"Kalau boleh si pelatihannya ga terbatas di program yg di sediakan, krn kadang lebih butuh sertifikat yg sesuai kompetensi yg diinginkan dan pelatihannya gada disana :("
441,Negatif,Mending ia lolos semua ini udh ga lolos cair cuman 1x😂
442,Positif,Alumni gelombang 13 heheww 👏
443,Netral,Harus slalu verif foto ktp ya?
444,Negatif,Min kalau Pelatihan sudah di ambil..apa boleh tukar model pelatihan Tanggal nya nggk 😢. Soal ke input Bulan nya 2 bln jauh Agustus
445,Netral,Emang masih ada yang minat??😂
446,Positif,"Sudah daftar smoga ketrima,Aamiin"
447,Positif,"Harusnya dengan skema normal gini 1 KK jangan dibatasi, misal 1 keluarga pengen ikut belajar semua gimana dongg.."
448,Netral,Soalnya klo dlu semi bansos
449,Negatif,Prakerja bakal d ttup secara perlahan makannya d buat ribett
450,Negatif,Saya dari gelombang 1 sampe 54 gak dapet
451,Positif,Enakan dulu sistem nya😂
452,Positif,"Ada alumni gelombang 5 nggak disini ya, cair 600rb 4x dan 50rb 3x 😎"
453,Negatif,Bodo amatt
454,Negatif,"Syarat Pelatihan nya kok kebanyakan harus memiliki PC laptop/komputer ya, yg ga punya gimana😢"
455,Negatif,Kapok ikutan ngga pernah bisa lolos
456,Negatif,"Untung gw dah lolos taun lalu 😂😂😂 dlu 600k 4X dtmbah survey total 150rb, nah skrng kok 600K 1X,😂😂😂"
457,Negatif,Gak pernah lolos males
458,Negatif,Gk enakk dlu awal2 prakerja 600rb sebanyak 4x
